Accent;Accent is a high yielding early bulking table variety.  Attractive, uniform oval tubers with light yellow skins and flesh and excellent cooking characteristics. Resistance to common scab, bruising and splitting. Resistant to potato cyst nematode <i>Globodera rostochiensisi</i> Ro1.  Susceptible to foliage and tuber late blight, blackleg and potato cyst nematode <i>Globodera pallida</i> Pa 2/3 and 1.  Sensitive to Sencorex post emergence.;Alcmaria x AM66.42;1;-;-;-;-;-;-;NETHERLANDS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Light yellow;-;Medium;-;First Early;Short;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Accord;Accord is a high yielding early bulking variety suited to early processing and fresh markets, with short term storage potential.  Attractive, bright uniform oval tubers with cream skin and flesh. Good resistance to common and powdery scab, resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1 with partial resistance to potato cyst nematode <i>Globodera pallida </i>Pa2/3,1.;Aminca x VK69-491;;-;-;-;-;-;-;NETHERLANDS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Cream;-;-;-;First Early;Medium;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Adora;Main Crop;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Light yellow;-;Smooth;-;First Early;-;Violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Agria;Agria is a high yielding maincrop  variety.Â Â Plants yield a good number of tubers.Â Â This variety  is suitable for a range of uses including crisping, french fries, processing (starch / flake)  as well as table use.Â Â Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to potato leafroll virus and potato virus Yo .Â This variety has low resistance to blackleg.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.;Quarta x Semlo;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Deep yellow;-;Medium;-;Maincrop;-;White;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alex (2018);;variant of Lady Balfour;1;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;White;Cream;-;-;-;-;Medium - tall;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alibaba;Maincrop variety with red tubers.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 6 for common scab and a 7 for mop top (spraing).;Barna x T2277/50;1;-;-;-;-;-;-;IRELAND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;White;-;-;-;Maincrop;-;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Almera;Almera is a high yielding second early  variety.Â Â Plants yield a high number of tubers.Â Â This variety  is suitable for a range of uses including crisping, french fries  as well as table use.Â Â Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to silver scurf, skin spot and potato leafroll virus.Â Â This variety has low resistance to black dot, late blight on foliage and powdery scab.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.;BM 77-2102 x AR 80-031-20;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Cream;Light yellow;-;Smooth;-;Second Early;Medium - tall;Red violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alouette;Alouette is a versatile red skinned table variety producing oval long tubers with shallow eyes and yellow flesh colour. It is a rather firm cooking type potato and has consistently scored highly in sensory evaluation analysis. Boasting dual blight resistance, Alouette is suitable for both conventional and organic production.;AR 02-139-1 x Laura;;-;-;-;-;-;-;AUSTRIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Red;Medium yellow;-;Smooth;-;Early Maincrop;Medium;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alverstone Russet;Main Crop;Cre 92-200 x Innovator;;-;-;-;-;-;-;UNITED KINGDOM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Russet;White;-;Medium;-;Maincrop;-;Blue violet;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Amany;High yielding multi-purpose variety;Victoria x G94TT131008;;-;-;-;-;-;-;FRANCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Yellow;Medium yellow;-;Smooth;-;Late Maincrop;Tall;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
